_id,id,parc,pin,address,owner,parc_sq_ft,class,zoned_as,inventory_type,current_status,acquisition_method,acquisition_date,last_updated,latitude,longitude,census_tract,neighborhood_name,council_district,ward,fire_zone,police_zone,dpw_streets,dpw_enviro,dpw_parks
1940535,184354,,,99  FOUNTAIN ST,City of Pittsburgh,1911,Vacant Land,H,Public Sale,Available for Sale,Treasurer Sale,2012-10-26,2018-09-12,40.4589644046,-80.0020471794,42003250900,Fineview,1,25,1-10,1,1,Northern,Riverview
1940536,550064,,,233  N FAIRMOUNT ST,City of Pittsburgh,,Vacant Land,R2-H,Public Sale,Sale Pending,Treasurer Sale,2016-04-29,2018-09-13,40.4662204868,-79.9317217626,42003111400,Garfield,9,11,3-4,5,2,Central,Highland
1940537,177915,,,1551 ROACH ST,City of Pittsburgh,3842,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1950-06-05,2023-12-08,40.487135307,-79.9357955065,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940538,177916,,,1553 ROACH ST,City of Pittsburgh,3800,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1949-06-06,2023-12-08,40.4872038669,-79.9356785311,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940539,177917,,,1555 ROACH ST,City of Pittsburgh,7520,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1950-06-05,2023-12-08,40.4872853166,-79.9354829744,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940540,177918,,,1557 ROACH ST,City of Pittsburgh,9760,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1950-06-05,2023-12-08,40.4873261781,-79.9351780989,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940541,177924,,,6242 JOHNSON ST,City of Pittsburgh,10000,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1949-06-06,2023-12-08,40.4876526061,-79.9354203082,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940542,177925,,,6236 JOHNSON ST,City of Pittsburgh,4000,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1950-06-05,2023-12-08,40.4875736048,-79.9356493349,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940543,177926,,,6234 JOHNSON ST,City of Pittsburgh,4000,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1949-06-06,2023-12-08,40.4875250555,-79.9357846203,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940544,177927,,,6232 JOHNSON ST,City of Pittsburgh,2700,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1950-06-05,2023-12-08,40.4874740027,-79.9359171331,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940545,177929,,,6232 OSBORNE ST,City of Pittsburgh,2812,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1949-06-06,2023-12-08,40.4878130077,-79.9360414091,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940546,177931,,,6236 OSBORNE ST,City of Pittsburgh,2000,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1949-06-06,2023-12-08,40.4878769388,-79.9358700785,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940547,177932,,,6238 OSBORNE ST,City of Pittsburgh,2000,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1950-06-05,2023-12-08,40.4879036994,-79.9358077005,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940548,177933,,,6240 OSBORNE ST,City of Pittsburgh,2000,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1972-06-05,2023-12-08,40.4879196365,-79.9357378781,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940549,177934,,,6242 OSBORNE ST,City of Pittsburgh,2000,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1949-06-06,2023-12-08,40.4879475094,-79.9356729356,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940550,177935,,,6244 OSBORNE ST,City of Pittsburgh,2000,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1950-06-05,2023-12-08,40.4879697398,-79.9356052569,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940551,177936,,,1650 LIVONIA ST,City of Pittsburgh,4000,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1948-06-07,2023-12-08,40.4880047622,-79.9355033087,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940552,177943,,,0000 BUTLER ST,City of Pittsburgh,570061,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1949-07-05,2023-12-08,40.4884302552,-79.9328953546,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
1940553,177993,,,6615 BAKER ST,City of Pittsburgh,6250,Vacant Land,H,Greenway,Permanent City Ownership,Treasurer Sale,1994-06-27,2023-12-07,40.488866972,-79.9301445723,42003101800,Stanton Heights,7,10,3-7,5,2,Central,Highland
