_id,id,pin,address,owner,parc_sq_ft,class,zoned_as,inventory_type,current_status,acquisition_method,acquisition_date,last_updated,latitude,longitude,census_tract,neighborhood_name,council_district,ward,fire_zone,police_zone,dpw_streets,dpw_enviro,dpw_parks
3504931,1103665,0019C00166000000,822 CRUCIBLE STREET,City of Pittsburgh,,Building,,City Facility,Permanent City Ownership,Purchase,2019-07-08,2023-06-23,40.4425122,-80.0402172,,Elliott,2,20,1-17,6,5,Northern,Emerald
3504932,1103666,,000000000000000000000000000000,City of Pittsburgh,,Not Classified,,Unknown,Permanent City Ownership,,,2023-06-23,,,,,,,,,,,
3504933,1103331,0083S00146000000,0 PRINCETON PL,City of Pittsburgh,,Vacant Land,,Hold for Study,Hold for Study,Purchase,2021-04-30,2023-06-08,40.4630942,-79.9198045,,East Liberty,9,11,3-10,5,2,Central,Highland
3504934,1103330,0083S00190000000,0 PRINCETON PL,City of Pittsburgh,,Vacant Land,,Hold for Study,Hold for Study,,2021-04-30,2023-06-08,40.4630942,-79.9198045,,East Liberty,9,11,3-10,5,2,Central,Highland
3504935,1103329,0083S00196000000,155 LARIMER AVE,City of Pittsburgh,,Vacant Land,,Hold for Study,Hold for Study,Purchase,2021-04-30,2023-06-08,40.462744,-79.919317,,East Liberty,9,11,3-10,5,2,Central,Highland
3504936,1103332,0083S00202000000,6247 KALIDA DR,City of Pittsburgh,,Vacant Land,,Hold for Study,Hold for Study,Purchase,2021-04-30,2023-06-08,40.4641949,-79.918938,,East Liberty,9,11,3-10,5,2,Central,Highland
3504937,177955,0120N00044000000,5434 KEYSTONE ST,City of Pittsburgh,7880,Vacant Land,H,Legislated Greenway,Permanent City Ownership,,2000-09-12,2023-06-05,40.482268449,-79.9484721096,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504938,177956,0120N00045000000,5432 KEYSTONE ST,City of Pittsburgh,2000,Vacant Land,H,Legislated Greenway,Permanent City Ownership,Treasurer Sale,1948-06-07,2023-06-05,40.4821854895,-79.9486266757,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504939,183816,0120N00202000000,5651  FIFTYSIXTH ST,City of Pittsburgh,5000,Vacant Land,H,Legislated Greenway,Permanent City Ownership,,,2023-06-05,40.482718725734166,-79.94579239080058,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504940,182705,0120N00246000000,5618  FIFTYSIXTH ST,City of Pittsburgh,20582,Vacant Land,H,Legislated Greenway,Permanent City Ownership,Treasurer Sale,1948-06-07,2023-06-05,40.483443675681755,-79.94655686035814,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504941,183817,0120N00271000000,5634  CARNEGIE ST,City of Pittsburgh,3427,Vacant Land,H,Legislated Greenway,Permanent City Ownership,,,2023-06-05,40.483741134549724,-79.94709410913758,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504942,183818,0120N00273000000,5632  CARNEGIE ST,City of Pittsburgh,3250,Vacant Land,H,Legislated Greenway,Permanent City Ownership,,,2023-06-05,40.483763379899614,-79.94698201538657,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504943,183819,0120N00274000000,5630  CARNEGIE ST,City of Pittsburgh,3250,Vacant Land,H,Legislated Greenway,Permanent City Ownership,,,2023-06-05,40.48379635702268,-79.94690258231198,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504944,183820,0120N00275000000,5628  CARNEGIE ST,City of Pittsburgh,3250,Vacant Land,H,Legislated Greenway,Permanent City Ownership,,,2023-06-05,40.483829601689074,-79.94682298012597,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504945,183821,0120N00276000000,5626  CARNEGIE ST,City of Pittsburgh,9750,Vacant Land,H,Legislated Greenway,Permanent City Ownership,,,2023-06-05,40.483899483316094,-79.94667026491342,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504946,177958,0120N00311000000,5638 CARNEGIE ST,City of Pittsburgh,1166,Vacant Land,H,Legislated Greenway,Permanent City Ownership,Treasurer Sale,1950-06-05,2023-06-05,40.4841675299,-79.9462489673,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504947,177959,0120N00322000000,0220 57TH ST,City of Pittsburgh,5440,Vacant Land,H,Legislated Greenway,Permanent City Ownership,Treasurer Sale,1948-06-07,2023-06-05,40.483747704,-79.9456163467,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504948,177960,0120N00325000002,57TH ST,City of Pittsburgh,8800,Vacant Land,H,Legislated Greenway,Permanent City Ownership,Treasurer Sale,1949-07-05,2023-06-05,40.4836646881,-79.9455224489,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504949,177961,0120N00328000000,5700 DUNCAN ST,City of Pittsburgh,13500,Vacant Land,H,Legislated Greenway,Permanent City Ownership,,1912-11-01,2023-06-05,40.4835181072,-79.9453554032,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
3504950,177965,0120P00125000000,0238 57TH ST,City of Pittsburgh,2670,Vacant Land,H,Legislated Greenway,Permanent City Ownership,Treasurer Sale,1948-06-07,2023-06-05,40.4833951927,-79.9452114557,42003101100,Upper Lawrenceville,7,10,3-5,2,2,Central,Highland
